Rank;Country;Airport;City served;Passengers
7; Spain;Adolfo Suárez Madrid–Barajas Airport;Madrid;17112389
43; Spain;Alicante Airport;Alicante;3739499
4; Netherlands;Amsterdam Airport Schiphol;Amsterdam;20887174
84; Russia;Anapa Airport;Anapa;1813347
19; Greece;Athens International Airport;Athens;8078383
91; Italy;Bari Airport;Bari;1703130
89; United Kingdom;Belfast International Airport;Belfast;1746951
83; Serbia;Belgrade Nikola Tesla Airport;Belgrade;1904025
60; Norway;Bergen Airport Flesland;Bergen;2711276
48; Germany;Berlin-Schönefeld;Berlin;3223603
30; Germany;Berlin-Tegel;Berlin;5867601
92; Spain;Bilbao Airport;Bilbao;1690011
52; United Kingdom;Birmingham Airport;Birmingham;2865845
65; Italy;Bologna Guglielmo Marconi Airport;Bologna;2506258
73; France;Bordeaux–Mérignac Airport;Bordeaux;2253000
35; Ukraine;Boryspil International Airport;Kyiv;5157848 
74; United Kingdom;Bristol Airport;Bristol;2192725
25; Belgium;Brussels Airport;Brussels;6743395
64; Belgium;Brussels South Charleroi Airport;Charleroi;2558046
41; Hungary;Budapest Ferenc Liszt International Airport;Budapest;3859379
87; Italy;Cagliari Elmas Airport;Cagliari;1767890
45; Italy;Catania-Fontanarossa Airport;Catania;3654457
2; France;Charles de Gaulle Airport;Paris;22257469
95; Italy;Ciampino Airport;Rome;1621159
53; Germany;Cologne Bonn Airport;Cologne/Bonn;3076587
22; Denmark;Copenhagen Airport;Copenhagen;7525441
8; Russia;Domodedovo International Airport;Moscow;16389427
27; Ireland;Dublin Airport;Dublin;6565179
26; Germany;Düsseldorf Airport;Düsseldorf;6569728
46; United Kingdom;Edinburgh Airport;Edinburgh;3473652
77; Netherlands;Eindhoven Airport;Eindhoven;2112785
62; France;EuroAirport Basel Mulhouse Freiburg;Basel/Mulhouse/Freiburg im Breisgau;2598980
61; Italy;Falcone–Borsellino Airport;Palermo;2701519
67; Portugal;Faro Airport;Faro;2078000
6; Germany;Frankfurt am Main Airport;Frankfurt;18768601
14; United Kingdom;Gatwick Airport;London;10171867
90; Poland;Gdańsk Lech Wałęsa Airport;Gdańsk;1711281
31;  Switzerland;Geneva Airport;Geneva;5600914
81; United Kingdom;Glasgow Airport;Glasgow;1944981
96; Sweden;Göteborg Landvetter Airport;Gothenburg;1576787
38; Germany;Hamburg Airport;Hamburg;4557372
3; United Kingdom;Heathrow Airport;London;22109726
36; Finland;Helsinki Airport;Helsinki;5053134
39; Romania;Henri Coandă International Airport;Bucharest;4468000
68; Greece;Heraklion International Airport;Heraklion;2378145
78; Spain;Ibiza Airport;Ibiza;2110348
1; Turkey;Istanbul Airport;Istanbul;23409132
9; Spain;Josep Tarradellas Barcelona–El Prat Airport;Barcelona;12739259
99; Poland;Katowice Airport;Katowice;1445781
75; Russia;Kazan International Airport;Kazan;2171603
76; Russia;Khrabrovo Airport;Kaliningrad;2117931
63; Poland;Kraków John Paul II International Airport;Kraków;2592972
50; Russia;Krasnodar International Airport;Krasnodar;3076447
93; Russia;Kurumoch International Airport;Samara;1675034
98; Germany;Langenhagen Airport;Hanover;1452361
15; Italy;Leonardo da Vinci–Fiumicino Airport;Rome;9830957 
72; Italy;Linate Airport;Milan;2274202
17; Portugal;Lisbon Airport;Lisbon;8381000
21; United Kingdom;London Stansted Airport;London;7543779
33; United Kingdom;Luton Airport;London;5472785
100; Luxembourg;Luxembourg Airport;Luxembourg City;1400000
54; France;Lyon–Saint-Exupéry Airport;Lyon;0
34; Spain;Málaga Airport;Málaga;5161636
23; Italy;Malpensa Airport;Milan;7241766
88; Malta;Malta International Airport;Malta;1748050
24; United Kingdom;Manchester Airport;Manchester;7037036
58; France;Marseille Provence Airport;Marseille;0
86; Russia;Mineralnye Vody Airport;Mineralnye Vody;1797989
82; Belarus;Minsk National Airport;Minsk;1939192
11; Germany;Munich Airport;Munich;11120224
55; France;Nantes Atlantique Airport;Nantes;2818921
57; Italy;Naples Airport;Naples;2779946
47; France;Nice Côte d'Azur Airport;Nice;0
42; Italy;Orio al Serio International Airport;Milan/Bergamo;3833063
13; France;Orly Airport;Paris;10797105
16; Norway;Oslo Airport Gardermoen;Oslo;9021729
29; Spain;Palma de Mallorca Airport;Palma de Mallorca;6108486
79; Russia;Platov International Airport;Rostov-on-Don;2086000
40; Portugal;Porto Airport;Porto;4170784
12; Russia;Pulkovo Airport;Saint Petersburg;10944421
97; Greece;Rhodes International Airport;Rhodes;1551123
80; Latvia;Riga International Airport;Riga;2010000
71; Spain;Seville Airport;Seville;2315610
5; Russia;Sheremetyevo International Airport;Moscow;19566402
37; Russia;Simferopol International Airport;Simferopol;4630000
51; Bulgaria;Sofia Airport;Sofia;2937846
94; Norway;Stavanger Airport Sola;Stavanger;1674900
28; Sweden;Stockholm Arlanda Airport;Stockholm;6535776
49; Germany;Stuttgart Airport;Stuttgart;3213695
70; Greece;"Thessaloniki Airport ""Macedonia""";Thessaloniki;2317336
59; France;Toulouse–Blagnac Airport;Toulouse;0
85; Norway;Trondheim Airport Værnes;Trondheim;1802826
69; Russia;Ufa International Airport;Ufa;2368689
44; Czech Republic;Václav Havel Airport Prague;Prague;3665871
66; Spain;Valencia Airport;Valencia;2487496
56; Italy;Venice Marco Polo Airport;Venice;2799688
20; Austria;Vienna International Airport;Vienna;7812938
10; Russia;Vnukovo International Airport;Moscow;12565241
32; Poland;Warsaw Chopin Airport;Warsaw;5482000
18;  Switzerland;Zurich Airport;Zürich;8341047
